iter	Passed	Remaining
607	1493	962
608	1496	960
609	1499	958
610	1502	956
611	1506	954
612	1509	952
613	1513	951
614	1516	949
615	1520	947
616	1524	946
617	1528	944
618	1532	942
619	1535	940
620	1537	938
621	1541	937
622	1544	934
623	1548	933
624	1551	931
625	1554	928
626	1558	927
627	1560	924
628	1563	922
629	1567	920
630	1570	918
631	1574	916
632	1576	914
633	1581	912
634	1584	910
635	1587	908
636	1590	906
637	1592	903
638	1595	901
639	1598	899
640	1601	896
641	1603	894
642	1608	892
643	1612	891
644	1616	889
645	1621	888
646	1625	886
647	1628	884
648	1633	883
649	1636	881
650	1640	879
651	1643	876
652	1645	874
653	1648	872
654	1651	869
655	1654	867
656	1657	865
657	1660	863
658	1664	861
659	1667	859
660	1671	857
661	1674	855
662	1679	853
663	1681	850
664	1684	848
665	1688	846
666	1693	845
667	1697	843
668	1702	842
669	1705	840
670	1709	838
671	1714	836
672	1717	834
673	1722	832
674	1725	830
675	1730	829
676	1733	827
677	1737	825
678	1741	823
679	1743	820
680	1746	818
681	1750	816
682	1754	814
683	1760	813
684	1764	811
685	1768	809
686	1771	807
687	1774	804
688	1777	802
689	1780	800
690	1784	797
691	1786	795
692	1790	793
693	1793	790
694	1797	789
695	1801	786
696	1804	784
697	1808	782
698	1813	780
699	1818	779
700	1822	777
701	1825	774
702	1828	772
703	1831	770
704	1834	767
705	1836	764
706	1838	761
707	1842	759
708	1845	757
709	1849	755
710	1852	752
711	1856	750
712	1859	748
713	1862	746
714	1865	743
715	1868	741
716	1873	739
717	1876	737
718	1879	734
719	1881	731
720	1884	729
721	1887	726
722	1890	724
723	1893	721
724	1896	719
725	1900	717
726	1904	715
727	1910	713
728	1915	712
729	1919	709
730	1924	708
731	1930	706
732	1934	704
733	1939	702
734	1942	700
735	1947	698
736	1950	696
737	1953	693
738	1954	690
739	1955	687
740	1957	684
741	1960	681
742	1962	678
743	1964	675
744	1966	672
745	1968	670
746	1969	667
747	1971	664
748	1972	660
749	1973	657
750	1975	654
751	1976	651
752	1978	649
753	1980	646
754	1983	643
755	1984	640
756	1986	637
757	1987	634
758	1990	632
759	1993	629
760	1994	626
761	1998	624
762	2000	621
763	2001	618
764	2003	615
765	2005	612
766	2007	609
767	2009	607
768	2011	604
769	2013	601
770	2015	598
771	2017	595
772	2019	593
773	2022	590
774	2024	587
775	2027	585
776	2028	582
777	2030	579
778	2031	576
779	2032	573
780	2034	570
781	2036	567
782	2038	564
783	2039	561
784	2042	559
785	2044	556
786	2045	553
787	2046	550
788	2050	548
789	2052	545
790	2054	542
791	2056	540
792	2058	537
793	2059	534
794	2061	531
795	2064	529
796	2065	526
797	2067	523
798	2068	520
799	2069	517
800	2071	514
801	2073	511
802	2074	509
803	2076	506
804	2077	503
805	2080	500
806	2083	498
807	2086	495
808	2088	493
809	2090	490
810	2091	487
811	2093	484
812	2095	482
813	2096	479
814	2098	476
815	2099	473
816	2101	470
817	2103	468
818	2104	465
819	2105	462
820	2108	459
821	2109	456
822	2111	454
823	2113	451
824	2116	448
825	2117	446
826	2118	443
827	2120	440
828	2122	437
829	2124	435
830	2125	432
831	2126	429
832	2127	426
833	2129	423
834	2131	421
835	2132	418
836	2134	415
837	2138	413
838	2140	410
839	2142	408
840	2144	405
841	2147	402
842	2148	400
843	2151	397
844	2154	395
845	2155	392
846	2156	389
847	2157	386
848	2159	384
849	2160	381
850	2163	378
851	2164	376
852	2167	373
853	2169	370
854	2172	368
855	2176	366
856	2179	363
857	2180	360
858	2182	358
859	2184	355
860	2186	353
861	2187	350
862	2188	347
863	2190	344
864	2192	342
865	2194	339
866	2195	336
867	2197	334
868	2200	331
869	2202	329
870	2204	326
871	2207	323
872	2209	321
873	2210	318
874	2212	316
875	2213	313
876	2215	310
877	2217	308
878	2218	305
879	2219	302
880	2221	300
881	2222	297
882	2224	294
883	2225	292
884	2227	289
885	2230	287
886	2232	284
887	2234	281
888	2236	279
889	2238	276
890	2239	273
891	2241	271
892	2243	268
893	2245	266
894	2246	263
895	2249	261
896	2251	258
897	2253	255
898	2254	253
899	2255	250
900	2257	248
901	2259	245
902	2262	242
903	2264	240
904	2266	237
905	2267	235
906	2268	232
907	2270	230
908	2272	227
909	2274	224
910	2275	222
911	2276	219
912	2278	217
913	2279	214
914	2281	211
915	2282	209
916	2284	206
917	2286	204
918	2289	201
919	2291	199
920	2292	196
921	2294	194
922	2297	191
923	2298	189
924	2300	186
925	2302	184
926	2304	181
927	2305	178
928	2308	176
929	2310	173
930	2311	171
931	2313	168
932	2315	166
933	2317	163
934	2319	161
935	2321	158
936	2323	156
937	2324	153
938	2325	151
939	2326	148
940	2327	145
941	2329	143
942	2331	140
943	2332	138
944	2333	135
945	2335	133
946	2336	130
947	2338	128
948	2339	125
949	2341	123
950	2345	120
951	2348	118
952	2350	115
953	2352	113
954	2354	110
955	2355	108
956	2357	105
957	2359	103
958	2361	100
959	2363	98
960	2365	95
961	2366	93
962	2368	91
963	2370	88
964	2372	86
965	2375	83
966	2377	81
967	2379	78
968	2382	76
969	2384	73
970	2385	71
971	2388	68
972	2389	66
973	2391	63
974	2392	61
975	2393	58
976	2395	56
977	2397	53
978	2398	51
979	2399	48
980	2402	46
981	2405	44
982	2408	41
983	2410	39
984	2412	36
985	2413	34
986	2432	32
987	2435	29
988	2437	27
989	2441	24
990	2444	22
991	2450	19
992	2454	17
993	2458	14
994	2463	12
995	2467	9
996	2473	7
997	2476	4
998	2480	2
999	2485	0
